Tipo;Cor;Pigmento;Quant OP (kg)
Duo Plus;Perola de Itabaiana;Vermelho Oxido;0,0002
Duo Plus;Perola de Itabaiana;Amarelo Oxido;0,003364
Duo Plus;Preto;Preto;0,031731
Duo Plus;Verde Recife;Amarelo Oxido;0,011519
Duo Plus;Verde Recife;Verde;0,002026
Duo Plus;Verde Recife;Amarelo Limpo;0,004194
Duo Plus;Vermelho Caju;Vermelho Limpo;0,006448
Duo Plus;Vermelho Caju;Vermelho Oxido;0,00744
Duo Plus;Vermelho Caju;Amarelo Limpo;0,003762
Cimento Queimado;Nuvem de Chuva;Azul;0,000112
Cimento Queimado;Nuvem de Chuva;Preto;0,000325
Cimento Queimado;Solidez Cinza;Preto;0,000179
Cimento Queimado;Toque de Cinza;Preto;0,000055
Cimento Queimado;Toque de Cinza;Amarelo Oxido;0,000214
Cimento Queimado;Via Expressa;Preto;0,000385
Esmalte Acetinado;Amarelo;Amarelo Oxido;0,002757
Esmalte Acetinado;Amarelo;Vermelho Limpo;0,000834
Esmalte Acetinado;Amarelo;Amarelo Limpo;0,06391
Esmalte Acetinado;Azul França;Preto;0,000256
Esmalte Acetinado;Azul França;Vermelho Oxido;0,002702
Esmalte Acetinado;Azul França;Azul;0,02486
Esmalte Acetinado;Cinza Platina;Preto;0,000311
Esmalte Acetinado;Cinza Platina;Amarelo Oxido;0,00205
Esmalte Acetinado;Cinza Platina;Azul;0,00027
Esmalte Acetinado;Preto;Preto;0,043249
Esmalte Acetinado;Vermelho;Vermelho Limpo;0,02533
Esmalte Acetinado;Vermelho;Vermelho Oxido;0,0068
Esmalte Acetinado;Vermelho;Amarelo Oxido;0,010664
Naturalle;Naturalle Turmalina Regal;Preto;0,0016
Textura Fulget;Aventura do Asfalto;Amarelo Oxido;0,000078
Textura Fulget;Aventura do Asfalto;Preto;0,000113
Textura Fulget;Banco de Areia;Amarelo Oxido;0,0008
Textura Fulget;Banco de Areia;Vermelho Oxido;0,000144
Textura Fulget;Batida de Amendoim;Preto;0,000123
Textura Fulget;Batida de Amendoim;Vermelho Oxido;0,00078
Textura Fulget;Batida de Amendoim;Amarelo Oxido;0,00137
Textura Fulget;Brigadeirao;Vermelho Oxido;0,003229
Textura Fulget;Brigadeirao;Amarelo Oxido;0,006947
Textura Fulget;Brigadeirao;Preto;0,000471
Textura Fulget;Bronze Montana;Preto;0,000075
Textura Fulget;Bronze Montana;Amarelo Oxido;0,001357
Textura Fulget;Bronze Palm Springs;Preto;0,0001
Textura Fulget;Bronze Palm Springs;Amarelo Oxido;0,00085
Textura Fulget;Bronze Palm Springs;Vermelho Oxido;0,00005
Textura Fulget;Castanha Nordestina;Amarelo Oxido;0,0025
Textura Fulget;Castanha Nordestina;Amarelo Limpo;0,0005
Textura Fulget;Castanha Nordestina;Preto;0,000075
Textura Fulget;Castanha Nordestina;Vermelho Oxido;0,0015
Textura Fulget;Desenho de Grafite;Preto;0,000312
Textura Fulget;Geleia de Laranja;Amarelo Oxido;0,00836
Textura Fulget;Geleia de Laranja;Vermelho Limpo;0,000216
Textura Fulget;Inspiracao Poetica;Vermelho Oxido;0,0004
Textura Fulget;Medalha de Prata;Azul;0,000132
Textura Fulget;Medalha de Prata;Preto;0,000176
Textura Fulget;Moeda de Cobre;Preto;0,00005
Textura Fulget;Moeda de Cobre;Vermelho Oxido;0,0017
Textura Fulget;Moeda de Cobre;Amarelo Oxido;0,00558
Textura Fulget;Morada Urbana;Preto;0,00009
Textura Fulget;Morada Urbana;Amarelo Oxido;0,00079
Textura Fulget;Musica de Raiz;Vermelho Oxido;0,000204
Textura Fulget;Musica de Raiz;Preto;0,0001
Textura Fulget;Musica de Raiz;Amarelo Oxido;0,0009
Textura Fulget;Ouro Monarca;Amarelo Limpo;0,001548
Textura Fulget;Ouro Monarca;Azul;0,000138
Textura Fulget;Ouro Monarca;Vermelho Limpo;0,000346
Textura Fulget;Outono Quente;Amarelo Oxido;0,000969
Textura Fulget;Outono Quente;Vermelho Oxido;0,001274
